CODIGO;NOMBRE;Impuesto;grupo;TCPROM_INV_Sin_Iva;TCPROM_INV;ULT_PRE_COMPRA_Sin_Iva;ULT_PRE_COMPRA;PRECIO_1_Sin_Iva;PRECIO_2_Sin_Iva;PRECIO_3_Sin_Iva;PRECIO_4_Sin_Iva;PRECIO_5_Sin_Iva;PRECIO_6_Sin_Iva;PRECIO_1;PRECIO_2;PRECIO_3;PRECIO_4;PRECIO_5;PRECIO_6;UBICACION;Estado_Plu;Referencia;SubcategoriaCD;Subcategoria;CategoriaCD;Categoria;LineaCD;Linea;Marca;Cumulative Count
9967;KIT POMOS X16 + APLICADOR SOMBRA REF 8034 OFERTA X 3;19.0000;01;6290;7485;6290;7485;12605.04201681;12605.04201681;6289.91596639;;;;15000.0000;15000.0000;7485.0000;;;;;ACTIVO;;;;;;;;;1
9966;CREMA DEFINIDORA FRIZZ EMERGENCY OLE X 50 ml;19.0000;38;14265;16975;14265;16975;19159.66386555;20168.06722689;14264.70588235;;;;22800.0000;24000.0000;16975.0000;;;;;ACTIVO;;;;;;;;;1
9965;CREMA DEFINIDORA FRIZZ EMERGENCY CON APLICADOR OLE X 20 ml;19.0000;38;12784;15213;12784;15213;17226.89075630;18067.22689076;12784.03361345;;;;20500.0000;21500.0000;15213.0000;;;;;ACTIVO;;;;;;;;;1
9964;CERA CAPILAR EN BARRA IKT X 75 g OKT01 - ABM-001 OFERTA X 3;19.0000;0;16638;19799;16638;19799;18403.36134454;18403.36134454;16638.65546218;;;;21900.0000;21900.0000;19800.0000;;;;;ACTIVO;;;;;;;;;1
9963;KIT FACIAL VIVE BEAUTY TONICO + ESPUMA X 250 ml;19.0000;31;15515;18463;15515;18463;21008.40336134;21848.73949580;15515.12605042;;;;25000.0000;26000.0000;18463.0000;;;;;ACTIVO;;;;;;;;;1
9962;KIT CORPORAL VIVE BEAUTY CREMA + SPLASH X 250 ml;19.0000;31;15515;18463;15515;18463;21008.40336134;21848.73949580;15515.12605042;;;;25000.0000;26000.0000;18463.0000;;;;;ACTIVO;;;;;;;;;1
9961;PALETA DE RUBORES X 9 MAKEUP EXPERT ATENEA;19.0000;35;42017;50000;42017;50000;54621.84873950;63025.21008403;42016.80672269;;;;65000.0000;75000.0000;50000.0000;;;;;ACTIVO;;;;;;;;;1
9960;PESTAÑA RUSA DIY NEW SOFT 2308 OFERTA X 3;19.0000;01;9267;11028;9267;11028;15126.05042017;15126.05042017;9267.22689076;;;;18000.0000;18000.0000;11028.0000;;;;;ACTIVO;;;;;;;;;1
9958;TERMOPROTECTOR BRUJERIA X 140 ml;19.0000;01;12265;14596;12117;14419;17647.05882353;18487.39495798;12116.80672269;;;;21000.0000;22000.0000;14419.0000;;;;;ACTIVO;;;;;;;;;1
9957;KIT DMAG SH CAIDA + REPOLARIZADOR X 400 ml;19.0000;0;27297;32483;27297;32483;31932.77310924;31932.77310924;27297.47899160;;;;38000.0000;38000.0000;32484.0000;;;;;ACTIVO;;;;;;;;;1
9956;KIT DMAG SHAMPO CELULAS + TRAT VITAMINAS X 400 ml;19.0000;01;35078;41743;35078;41743;41176.47058824;41176.47058824;35078.15126050;;;;49000.0000;49000.0000;41743.0000;;;;;ACTIVO;;;;;;;;;1
9955;TIJERA NARIZ XZ REF 663 OFERTA X 3;19.0000;01;2347;2793;2347;2793;5042.01680672;5042.01680672;2347.05882353;;;;6000.0000;6000.0000;2793.0000;;;;;ACTIVO;;;;;;;;;1
9954;TINTA JELLY USHAS C026 DIS 24 OFERTA X 3;19.0000;01;6655;7919;6655;7919;7563.02521008;7563.02521008;6655.46218487;;;;9000.0000;9000.0000;7920.0000;;;;;ACTIVO;;;;;;;;;1
9953;BLOQUEADOR BIOAQUA X 40 ml BQY00607 OFERTA X 3;19.0000;0;9706;11550;9706;11550;12605.04201681;12605.04201681;9705.88235294;;;;15000.0000;15000.0000;11550.0000;;;;;ACTIVO;;;;;;;;;1
9952;KIT FACIAL RUBY ROSE OFERTA X 3;19.0000;01;16678;19847;16678;19847;22689.07563025;22689.07563025;16678.15126050;;;;27000.0000;27000.0000;19847.0000;;;;;ACTIVO;;;;;;;;;1
9951;KIT CORTAUÑAS + TIJERA REF 1971 OFERTA X 3;19.0000;01;5022;5976;5022;5976;8067.22689076;8067.22689076;5021.84873950;;;;9600.0000;9600.0000;5976.0000;;;;;ACTIVO;;;;;;;;;1
9950;LIMA 100/180 PARA UÑA ACRILICA CURBA Y CUADRADA - OFERTA X 3;19.0000;0;1129;1344;1129;1344;2016.80672269;2016.80672269;;;;;2400.0000;2400.0000;;;;;;ACTIVO;;;;;;;;;1
9949;GEL PARA CEJAS GOT2B NEGRO X 35 g OFERTA X 3;19.0000;01;30252;36000;30252;36000;32773.10924370;32773.10924370;30252.10084034;;;;39000.0000;39000.0000;36000.0000;;;;;ACTIVO;;;;;;;;;1
9948;KIT ANYELUZ MINI X 3;19.0000;01;5042;6000;5042;6000;6722.68907563;6722.68907563;5042.01680672;;;;8000.0000;8000.0000;6000.0000;;;;;ACTIVO;;;;;;;;;1
9947;TINTA PALETA MISS BETTY DIS X 24 L1213 OFERTA X 3;19.0000;01;3781;4499;3781;4499;4537.81512605;4537.81512605;3781.51260504;;;;5400.0000;5400.0000;4500.0000;;;;;ACTIVO;;;;;;;;;1
9946;KIT ESMALTE VOGUE LUJO GEL OFERTA  X 3;19.0000;01;9015;10728;9015;10728;10588.23529412;10588.23529412;9015.12605042;;;;12600.0000;12600.0000;10728.0000;;;;;ACTIVO;;;;;;;;;1
9945;KIT ANYELUZ CEBOLLA X 3;19.0000;01;59873;71249;59873;71249;63865.54621849;63865.54621849;59873.94957983;;;;76000.0000;76000.0000;71250.0000;;;;;ACTIVO;;;;;;;;;1
9944;AGUA MISCELAR GARNIER X 400 ROSADA  5557. OFERTA X 3;19.0000;01;29411;34999;29411;34999;33613.44537815;33613.44537815;29411.76470588;;;;40000.0000;40000.0000;35000.0000;;;;;ACTIVO;;;;;;;;;1
9943;TIJERA + PERFILADOR BEAUTY TOOLS REF TZ-328292 OFERTA X 3;19.0000;01;8175;9728;8175;9728;13865.54621849;13865.54621849;8175.63025210;;;;16500.0000;16500.0000;9729.0000;;;;;ACTIVO;;;;;;;;;1
9942;TIJERA XZ GYD 017 OFERTA X 3;19.0000;01;4129;4914;4129;4914;7563.02521008;7563.02521008;4129.41176471;;;;9000.0000;9000.0000;4914.0000;;;;;ACTIVO;;;;;;;;;1
9941;PERFILADOR X 3 DINAKA REF SND001 OFERTA X 3;19.0000;01;2188;2604;2188;2604;4537.81512605;4537.81512605;2188.23529412;;;;5400.0000;5400.0000;2604.0000;;;;;ACTIVO;;;;;;;;;1
9940;PERFILADOR X 3 EYEBROW RAZO REF FLAMINGO-S OFERTA X 3;19.0000;01;2367;2817;2367;2817;5042.01680672;5042.01680672;2367.22689076;;;;6000.0000;6000.0000;2817.0000;;;;;ACTIVO;;;;;;;;;1
9939;KIT POMOS X 8 REF 122016-2  OFERT X 3;19.0000;01;3872;4608;3872;4608;7058.82352941;7058.82352941;3872.26890756;;;;8400.0000;8400.0000;4608.0000;;;;;ACTIVO;;;;;;;;;1
9938;KIT POLVERA FASHION 6515 OFERTA X 3;19.0000;01;1873;2229;1873;2229;3529.41176471;3529.41176471;1873.10924370;;;;4200.0000;4200.0000;2229.0000;;;;;ACTIVO;;;;;;;;;1
9937;LABIAL SAMY HUMECTANTE 222;19.0000;10;3634;4324;3634;4324;4033.61344538;4621.84873950;3633.61344538;;;;4800.0000;5500.0000;4324.0000;;;;1-B3-4;ACTIVO;;;;6405;MAQUILLAJE;64;COSMETICOS;SAMY;1
9936;KIT POLVERA + MINI BORLA X 3 PE7;19.0000;01;3453;4109;3453;4109;7058.82352941;7058.82352941;3453.78151261;;;;8400.0000;8400.0000;4110.0000;;;;;ACTIVO;;;;;;;;;1
9935;DES DOVE ROLL-ON DAMA ORIGINAL X 50ml //;19.0000;01;5849;6961;5882;7000;6974.78991597;7563.02521008;5882.35294118;;;;8300.0000;9000.0000;7000.0000;;;;6-A9-4;ACTIVO;;;;;;;;;1
9934;DES DOVE ROLL-ON DAMA SENSITIVE X 50ml //;19.0000;01;5630;6700;5630;6700;6974.78991597;7563.02521008;5630.25210084;;;;8300.0000;9000.0000;6700.0000;;;;6-A9-4;ACTIVO;;;;40614;DESODORANTES;406;CUIDADO CORPORAL;;1
9933;DES DOVE ROLL-ON DAMA POWDER SOFT X 50ml //;19.0000;01;5630;6700;5630;6700;6974.78991597;7563.02521008;5630.25210084;;;;8300.0000;9000.0000;6700.0000;;;;6-A9-4;ACTIVO;;;;40614;DESODORANTES;406;CUIDADO CORPORAL;;1
9932;DES DOVE ROLL-ON DAMA GO FRESH PEPINO X 50ml //;19.0000;01;5630;6700;5630;6700;6974.78991597;7563.02521008;5630.25210084;;;;8300.0000;9000.0000;6700.0000;;;;6-A9-4;ACTIVO;;;;40614;DESODORANTES;406;CUIDADO CORPORAL;DOVE;1
9931;TINTURA BONSUA CHOCOLATE RUBIO OSCURO 6-53;19.0000;42;8823;10499;8823;10499;10420.16806723;11344.53781513;8823.52941176;;;;12400.0000;13500.0000;10500.0000;;;;5-A5-7;ACTIVO;;;;;;;;;1
9930;TINTURA BONSUA CASTAÑO CLARO ROJO INTENSO 5-66;19.0000;42;8823;10499;8823;10499;10420.16806723;11344.53781513;8823.52941176;;;;12400.0000;13500.0000;10500.0000;;;;5-A5-7;ACTIVO;;;;;;;;;1
9929;TINTURA BONSUA RUBIO MEDIO COBRE DORADO 7-43;19.0000;42;8823;10499;8823;10499;10420.16806723;11344.53781513;8823.52941176;;;;12400.0000;13500.0000;10500.0000;;;;5-A5-7;ACTIVO;;;;;;;;;1
9928;POLVO SUELTO ATENEA 1ST SCENE 9 g TRASLUCIDO;19.0000;35;15126;18000;15126;18000;18907.56302521;21428.57142857;15126.05042017;;;;22500.0000;25500.0000;18000.0000;;;;;ACTIVO;;;;;;;;;1
9927;TINTURA BONSUA SUPER ACLARANTE 0-00;19.0000;42;8823;10499;8823;10499;10420.16806723;11344.53781513;8823.52941176;;;;12400.0000;13500.0000;10500.0000;;;;5-A5-7;ACTIVO;;;;;;;;;1
9926;TINTURA BONSUA CHOCOLATE CLARO 7-53;19.0000;42;8823;10499;8823;10499;10420.16806723;11344.53781513;8823.52941176;;;;12400.0000;13500.0000;10500.0000;;;;5-A5-7;ACTIVO;;;;;;;;;1
9925;BASE LIQUIDA RUBY ROSE SOFT MATTE CHOCOLATE 1 HB-8050;19.0000;12;11353;13510;11353;13510;15714.28571429;16386.55462185;13356.30252101;;;;18700.0000;19500.0000;15894.0000;;;;;ACTIVO;;;;6405;MAQUILLAJE;64;COSMETICOS;;1
9924;SPLASH CAPILAR LECHE PAL PELO X 120 LOVE;19.0000;47;12612;15009;12613;15009;15462.18487395;16806.72268908;12612.60504202;;;;18400.0000;20000.0000;15009.0000;;;;8-A1-5;ACTIVO;;;;;;;;;1
9923;SPLASH CAPILAR LECHE PAL PELO X 120 PASION;19.0000;47;12612;15009;12613;15009;15462.18487395;16806.72268908;12612.60504202;;;;18400.0000;20000.0000;15009.0000;;;;8-A1-5;ACTIVO;;;;;;;;;1
9922;PAÑITOS HUMEDOS WHOOP X 100 und PAGUE 2 LLEVE 3;19.0000;01;5042;6000;5042;6000;8319.32773109;8823.52941176;5042.01680672;;;;9900.0000;10500.0000;6000.0000;;;;;ACTIVO;;;;;;;;;1
9921;PAÑITOS HUMEDOS WHOOP X 100 unds;19.0000;01;2521;3000;2521;3000;3025.21008403;4621.84873950;2521.00840336;;;;3600.0000;5500.0000;3000.0000;;;;;ACTIVO;;;;;;;;CHINA;1
9920;SH PANTENE X 100 ml RESTAURACION;19.0000;01;3461;4118;3445;4100;4117.64705882;4453.78151261;3445.37815126;;;;4900.0000;5300.0000;4100.0000;;;;7-B2-3;ACTIVO;;1310;SHAMPOO 1 EN 1;9613;SHAMPOO;96;CUIDADO CAPILAR Y ACCESORIOS;PANTENE;1
9919;LISTERINE X 1000 ml CUIDADO TOTAL;19.0000;01;25254;30053;25210;30000;29663.86554622;32352.94117647;25210.08403361;;;;35300.0000;38500.0000;30000.0000;;;;3-A1-3;ACTIVO;;;;9809;ENJUAGUES BUCALES;98;CUIDADO ORAL Y AFEITADA;LISTERINE;1
9918;TONICO CAPILAR DEL ARBOL X 120 ml CEBOLLA Y BIOTINA;19.0000;48;6990;8318;6990;8318;8739.49579832;9663.86554622;6989.91596639;;;;10400.0000;11500.0000;8318.0000;;;;;ACTIVO;;;;;;;;;1
9917;ACOND DEL ARBOL X 1000 ml CEBOLLA;19.0000;48;17294;20580;17294;20580;21680.67226891;22689.07563025;17294.11764706;;;;25800.0000;27000.0000;20580.0000;;;;;ACTIVO;;;;;;;;;1
9916;SH DEL ARBOL X 1000 ml CEBOLLA;19.0000;48;17773;21149;18403;21900;22857.14285714;23529.41176471;18403.36134454;;;;27200.0000;28000.0000;21900.0000;;;;;ACTIVO;;;;;;;;;1
9915;CORRECTOR LIQUIDO DOLCE BELLA CARMEL;19.0000;43;6725;8002;6723;8000;8067.22689076;8823.52941176;6722.68907563;;;;9600.0000;10500.0000;8000.0000;;;;;ACTIVO;;;;;;;;;1
9914;CORRECTOR LIQUIDO DOLCE BELLA IVORY;19.0000;43;6862;8166;6891;8200;8067.22689076;8823.52941176;6890.75630252;;;;9600.0000;10500.0000;8200.0000;;;;;ACTIVO;;;;;;;;;1
9913;CORRECTOR LIQUIDO DOLCE BELLA HONEY;19.0000;43;6854;8156;6891;8200;8067.22689076;8823.52941176;6890.75630252;;;;9600.0000;10500.0000;8200.0000;;;;;ACTIVO;;;;;;;;;1
9912;LABIAL VOGUE RESIST PRUEBA DE BESOS BAILA;19.0000;09;11882;14140;11930;14197;14201.68067227;15126.05042017;11930.25210084;;;;16900.0000;18000.0000;14197.0000;;;;;ACTIVO;;;;6405;MAQUILLAJE;64;COSMETICOS;VOGUE;1
9911;LABIAL VOGUE LIQUIDO COLORISIMO ARANDANO;19.0000;09;5744;6835;5744;6835;7563.02521008;7983.19327731;6262.18487395;;;;9000.0000;9500.0000;7452.0000;;;;;ACTIVO;;;;6405;MAQUILLAJE;64;COSMETICOS;VOGUE;1
9910;BRILLO VOGUE COLORISIMO EXTRA B - COSMOPOLITAN;19.0000;09;6539;7781;6716;7992;8067.22689076;9243.69747899;6723.52941176;;;;9600.0000;11000.0000;8001.0000;;;;;ACTIVO;;;;6405;MAQUILLAJE;64;COSMETICOS;VOGUE;1
9909;LABIAL VOGUE RESIST PRUEBA DE BESOS ROMANTICA;19.0000;09;12571;14959;12571;14959;14201.68067227;16806.72268908;12976.47058824;;;;16900.0000;20000.0000;15442.0000;;;;;ACTIVO;;545;LABIAL;6405;MAQUILLAJE;64;COSMETICOS;VOGUE;1
9908;MATIZANTE+ PERFETTA SOBRE X 50 ROJO;19.0000;32;2465;2933;2465;2933;3025.21008403;3361.34453782;2464.70588235;;;;3600.0000;4000.0000;2933.0000;;;;;ACTIVO;;;;;;;;;1
9907;MATIZANTE+ PERFETTA SOBRE X 50 CHOCOLATE;19.0000;32;2465;2933;2465;2933;3025.21008403;3361.34453782;2464.70588235;;;;3600.0000;4000.0000;2933.0000;;;;;ACTIVO;;1530;TRATAMIENTOS CAPILARES;9615;TRATAMIENTO CAPILAR;96;CUIDADO CAPILAR Y ACCESORIOS;PERFETTA;1
9906;MATIZANTE+ PERFETTA SOBRE X 50 VIOLETA;19.0000;32;2465;2933;2465;2933;3025.21008403;3361.34453782;2464.70588235;;;;3600.0000;4000.0000;2933.0000;;;;;ACTIVO;;1530;TRATAMIENTOS CAPILARES;9615;TRATAMIENTO CAPILAR;96;CUIDADO CAPILAR Y ACCESORIOS;PERFETTA;1
9905;MATIZANTE+ PERFETTA SOBRE X 50 BEIGE PERLA;19.0000;32;2465;2933;2465;2933;3025.21008403;3361.34453782;2464.70588235;;;;3600.0000;4000.0000;2933.0000;;;;;ACTIVO;;1530;TRATAMIENTOS CAPILARES;9615;TRATAMIENTO CAPILAR;96;CUIDADO CAPILAR Y ACCESORIOS;PERFETTA;1
9904;MATIZANTE+ PERFETTA SOBRE X 50 COBRE;19.0000;32;2465;2933;2465;2933;3025.21008403;3361.34453782;2464.70588235;;;;3600.0000;4000.0000;2933.0000;;;;;ACTIVO;;1530;TRATAMIENTOS CAPILARES;9615;TRATAMIENTO CAPILAR;96;CUIDADO CAPILAR Y ACCESORIOS;PERFETTA;1
9903;MATIZANTE+ PERFETTA SOBRE X 50 CENIZO;19.0000;32;2465;2933;2465;2933;3025.21008403;3361.34453782;2464.70588235;;;;3600.0000;4000.0000;2933.0000;;;;;ACTIVO;;1530;TRATAMIENTOS CAPILARES;9615;TRATAMIENTO CAPILAR;96;CUIDADO CAPILAR Y ACCESORIOS;PERFETTA;1
9902;MATIZANTE+ PERFETTA SOBRE X 50 BEIGE PURO;19.0000;32;2465;2933;2465;2933;3025.21008403;3361.34453782;2464.70588235;;;;3600.0000;4000.0000;2933.0000;;;;;ACTIVO;;;;;;;;;1
9901;LABIAL VOGUE LIQUIDO COLORISIMO FUSION OTOÑAL;19.0000;09;5813;6917;5744;6835;7563.02521008;7983.19327731;6262.18487395;;;;9000.0000;9500.0000;7452.0000;;;;;ACTIVO;;;;6405;MAQUILLAJE;64;COSMETICOS;VOGUE;1
9900;LABIAL VOGUE RESIST PRUEBA DE BESOS MISTERIOSA;19.0000;09;11812;14057;11929;14196;14201.68067227;16806.72268908;11930.25210084;;;;16900.0000;20000.0000;14197.0000;;;;;ACTIVO;;545;LABIAL;6405;MAQUILLAJE;64;COSMETICOS;VOGUE;1
9899;LABIAL VOGUE RESIST PRUEBA DE BESOS SOÑADORA;19.0000;09;11873;14128;11929;14196;14201.68067227;15126.05042017;11930.25210084;;;;16900.0000;18000.0000;14197.0000;;;;;ACTIVO;;545;LABIAL;6405;MAQUILLAJE;64;COSMETICOS;VOGUE;1
9898;LABIAL VOGUE RESIST PRUEBA DE BESOS INVENCIBLE;19.0000;09;12571;14959;12571;14959;14201.68067227;16806.72268908;12976.47058824;;;;16900.0000;20000.0000;15442.0000;;;;;ACTIVO;;;;6405;MAQUILLAJE;64;COSMETICOS;VOGUE;1
9897;LABIAL VOGUE RESIST PRUEBA DE BESOS LINDA;19.0000;09;12609;15005;12571;14959;14201.68067227;16806.72268908;12976.47058824;;;;16900.0000;20000.0000;15442.0000;;;;;ACTIVO;;;;6405;MAQUILLAJE;64;COSMETICOS;VOGUE;1
9896;LABIAL VOGUE RESIST PRUEBA DE BESOS ENCANTADORA;19.0000;09;12118;14420;11929;14196;14201.68067227;15126.05042017;11930.25210084;;;;16900.0000;18000.0000;14197.0000;;;;;ACTIVO;;;;6405;MAQUILLAJE;64;COSMETICOS;VOGUE;1
9895;LABIAL VOGUE RESIST PRUEBA DE BESOS NATURAL;19.0000;09;12571;14959;12571;14959;14201.68067227;15126.05042017;11930.25210084;;;;16900.0000;18000.0000;14197.0000;;;;;ACTIVO;;;;6405;MAQUILLAJE;64;COSMETICOS;VOGUE;1
9894;BASE VOGUE RESIST VAINILLA;19.0000;09;15093;17961;15118;17990;18907.56302521;19327.73109244;16103.36134454;;;;22500.0000;23000.0000;19163.0000;;;;;ACTIVO;;;;;;;;;1
